GEN UID,Bus ID,Unit Type,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,Output_pct_4,HR_avg_0,HR_incr_1,HR_incr_3,HR_incr_4,capital_cost,emissions_factor,lifetime,efficiency,weight,p_nom_min,p_nom_max,p_max_pu
AT1 0 CCGT,AT1 0,CT,C,,,,4596.0,0,,,,,1,,,,,,,0,1,,,,,,,,,,126431.64689898516,0.198,inf,0.5972319408181027,1.0,4596.0,inf,1.0
AT1 0 CCGT-c,AT1 0,CT,C,,,,4596.0,0,,,,,1,,,,,,,0,1,,,,,,,,,,126431.64689898516,0.198,inf,0.5972319408181027,1.0,4596.0,inf,1.0
AT1 0 biomass,AT1 0,BIO,B,,,,132.0,0,,,,,1,,,,,,,0,1,,,,,,,,,,371372.7528566886,0.0,inf,0.468,1.0,132.0,inf,1.0
AT1 0 oil,AT1 0,CC,G,,,,170.0,0,,,,,1,,,,,,,0,1,,,,,,,,,,49328.8713130479,0.2571,inf,0.35,1.0,170.0,inf,1.0
AT1 0 waste,AT1 0,LFILL,G,,,,123.0,0,,,,,1,,,,,,,0,1,,,,,,,,,,1026674.8901905594,0.2571,inf,0.2165,1.0,123.0,inf,1.0
BA1 0 lignite,BA1 0,COAL,C,,,,2090.0,0,,,,,1,,,,,,,0,1,,,,,,,,,,423983.32612280146,0.4069,inf,0.33,1.0,2090.0,inf,1.0
BE1 0 CCGT,BE1 0,CT,C,,,,6634.2,0,,,,,1,,,,,,,0,1,,,,,,,,,,126431.64689898514,0.198,inf,0.6000000000000001,1.0,6634.2,inf,1.0
BE1 0 CCGT-c,BE1 0,CT,C,,,,6634.2,0,,,,,1,,,,,,,0,1,,,,,,,,,,126431.64689898514,0.198,inf,0.6000000000000001,1.0,6634.2,inf,1.0
BE1 0 biomass,BE1 0,BIO,B,,,,113.0,0,,,,,1,,,,,,,0,1,,,,,,,,,,371372.7528566887,0.0,inf,0.4680000000000001,1.0,113.0,inf,1.0
BE1 0 nuclear,BE1 0,NUC,N,,,,4096.0,0,,,,,1,,,,,,,0,1,,,,,,,,,,947758.9752212986,0.0,inf,0.326,1.0,4096.0,inf,0.626
BE1 0 oil,BE1 0,CC,G,,,,130.2,0,,,,,1,,,,,,,0,1,,,,,,,,,,49328.87131304791,0.2571,inf,0.35,1.0,130.2,inf,1.0
BE1 0 waste,BE1 0,LFILL,G,,,,293.8,0,,,,,1,,,,,,,0,1,,,,,,,,,,1026674.8901905594,0.2571,inf,0.21649999999999997,1.0,293.8,inf,1.0
BG1 0 CCGT,BG1 0,CT,C,,,,761.0,0,,,,,1,,,,,,,0,1,,,,,,,,,,126431.64689898516,0.198,inf,0.6,1.0,761.0,inf,1.0
BG1 0 CCGT-c,BG1 0,CT,C,,,,761.0,0,,,,,1,,,,,,,0,1,,,,,,,,,,126431.64689898516,0.198,inf,0.6,1.0,761.0,inf,1.0
BG1 0 coal,BG1 0,COAL,C,,,,1204.0,0,,,,,1,,,,,,,0,1,,,,,,,,,,423983.3261228014,0.3361,inf,0.356,1.0,1204.0,inf,1.0
BG1 0 lignite,BG1 0,COAL,C,,,,6057.0,0,,,,,1,,,,,,,0,1,,,,,,,,,,423983.3261228014,0.4069,inf,0.33,1.0,6057.0,inf,1.0
BG1 0 nuclear,BG1 0,NUC,N,,,,2080.0,0,,,,,1,,,,,,,0,1,,,,,,,,,,947758.9752212986,0.0,inf,0.326,1.0,2080.0,inf,0.89
CH1 0 CCGT,CH1 0,CT,C,,,,98.8,0,,,,,1,,,,,,,0,1,,,,,,,,,,126431.64689898513,0.198,inf,0.6,1.0,98.8,inf,1.0
